label,x,y,text,id,position,width,distance
Branch,486.0,771.0,Cash,13,1,128.0,2535.3879387580905
Branch,646.0,770.0,deposit,13,1,250.0,2406.2005319590467
Branch,1359.0,944.0,6-001-840-JDE,13,1,466.0,1755.551765115458
Branch,2692.0,1084.0,LBP,13,2,104.0,1137.5609873760616
Branch,3033.0,1084.0,"2,040,000",13,2,306.0,1222.1006505194243
Branch,2694.0,1150.0,USD,13,2,108.0,1072.194478627828
Branch,3309.0,1155.0,0,13,2,37.0,1292.1768454820726
Branch,2687.0,1209.0,USD,13,2,120.0,1012.7808252529271
Branch,3217.0,1215.0,0.66,13,2,137.0,1191.053735143801
Branch,2630.0,1340.0,USD,13,0,176.0,877.05473033329
Branch,3090.0,1339.0,"1,342.11",13,2,265.0,1018.71291343538
Branch,3830.0,1306.0,A,13,2,-148.0,1553.6669527282866
Branch,2696.0,1470.0,USD,13,2,118.0,755.5799097382089
Branch,3097.0,1466.0,"1,341.45",13,2,261.0,915.8220351138096
Branch,3032.0,1529.0,19/04/2021,13,2,330.0,827.067107313548
Branch,2917.0,1597.0,"1,520.0000000",13,2,448.0,708.7545414316581
Branch,429.0,1745.0,Ordering customer :,13,1,701.0,2191.9810674364867
Branch,429.0,1746.0,Ordering,13,1,284.0,2191.76686716448
Branch,747.0,1746.0,customer,13,1,300.0,1882.3628768120136
Branch,1092.0,1810.0,regl pdld,13,1,425.0,1532.4845839355123
Branch,1162.0,1811.0,regl,13,1,150.0,1464.8139813641867
Branch,1347.0,1808.0,pdld,13,1,155.0,1288.9445294503562
Branch,2865.0,1760.0,REÇU,13,2,206.0,542.2637734534735
Branch,2661.0,1875.0,ANQUE LIBANO-FRANÇAISE S.A.L,13,0,609.0,351.96732802917944
Branch,2671.0,1878.0,ANQUE,13,0,128.0,351.8096076004747
Branch,2809.0,1860.0,LIBANO-FRANÇAISE,13,2,356.0,427.9556051741816
Branch,3175.0,1806.0,S.A.L,13,2,93.0,730.278029246396
Branch,2844.0,1984.0,15 APR 2021,13,2,295.0,358.381082090001
Branch,2845.0,1984.0,15,13,2,69.0,359.14620978091915
Branch,2929.0,1976.0,APR,13,2,91.0,431.2794917452023
Branch,3035.0,1964.0,2021,13,2,102.0,528.4183948350019
Branch,424.0,2082.0,Reference : TT/21105/,13,1,772.0,2150.117438653061
Branch,850.0,2083.0,TT/21105/,13,1,345.0,1725.057680195071
Branch,2569.0,2069.0,BANQUE LIBANO-FRANCAISE,13,0,821.0,146.00342461736986
Branch,2816.0,2066.0,LIBANO-FRANCAISE,13,2,567.0,287.6056327682057
Branch,417.0,2220.0,Stamp duty paid in cash,13,3,856.0,2153.005805844471
Branch,421.0,2220.0,Stamp,13,3,176.0,2149.0058166510394
Branch,623.0,2220.0,duty,13,3,150.0,1947.0064201229538
Branch,803.0,2221.0,paid,13,3,159.0,1767.0101867278524
Branch,996.0,2222.0,in,13,3,79.0,1574.0155653614104
Branch,1110.0,2223.0,cash,13,3,158.0,1460.0219176437045
Branch,2566.0,2214.0,Branch MAZRAAT YACHOUH,13,5,799.0,4.123105625617661
Branch,2820.0,2207.0,MAZRAAT,13,4,256.0,250.12796724876648
Branch,3113.0,2197.0,YACHOUH,13,4,241.0,543.2982606267021
